"Supplementary Table 2: Drug-drug interactions detected in the screen. Drug interactions, their conservation across strains and across species, and whether they were probed for all or only part of the species. Interaction sign is “synergy” or “antagonism” in case of strong interactions, “NA” otherwise. Corresponding p-values and interactions scores are provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drug combination,,Conservation across species,Class-Class,Conservation across strains,,,Interacion sign,,,,,,Interacion score,,,,,,p-value,,,,,,Species conflict,Species probed
,Aztreonam,Cerulenin,EC,beta-lactam_fatty acid biosynthesis,not_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,-0.077526848,0.172350282,NA,NA,NA,NA,NA,0.008207008,NA,NA,NA,NA,no_conflict,ECSTPA
,Aztreonam,Ciclopirox,EC,beta-lactam_human drug,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.136991483,0.243208918,NA,NA,NA,NA,NA,0.006382388,NA,NA,NA,NA,no_conflict,ECSTPA
,Clarithromycin,Gentamicin,EC,aminoglycoside_macrolide,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.233014356,0.112202368,NA,NA,NA,NA,NA,0.039647611,NA,NA,NA,NA,no_conflict,ECSTPA
,Caffeine,Puromycin,EC,other protein synthesis inhibitor_food additive,not_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.046512724,0.210917321,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,no_conflict,ECSTPA
,Caffeine,Moxifloxacin,EC,quinolones_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.197779174,0.146172217,NA,NA,NA,NA,NA,0.045807474,NA,NA,NA,NA,no_conflict,ECSTPA
,Puromycin,Acetylsalisylic acid,EC,other protein synthesis inhibitor_human drug,not_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,-0.026218017,0.227161,NA,NA,NA,NA,NA,0.03445807,NA,NA,NA,NA,no_conflict,ECSTPA
,Mitomycin C,Curcumin,EC,other DNA_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.08786836,0.166763582,NA,NA,NA,NA,NA,0.022850764,NA,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Caffeine,EC,tetracycline_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.104542678,0.2113696,NA,NA,NA,NA,NA,0.019042464,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Colistin,EC,beta-lactam_LPS,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.156678455,0.787718769,NA,NA,NA,NA,NA,0.00516615,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Caffeine,EC,other protein synthesis inhibitor_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.071292818,0.291046802,NA,NA,NA,NA,NA,0.034004062,NA,NA,NA,NA,no_conflict,ECSTPA
,Polymyxin B,CHIR-90,EC,LPS_LPS,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.131049771,0.21957512,NA,NA,NA,NA,NA,0.044783057,NA,NA,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Cerulenin,EC,fatty acid biosynthesis_other protein synthesis inhibitor,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.103580291,0.191888256,NA,NA,NA,NA,NA,0.048188458,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Vanillin,EC,beta-lactam_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.078214249,0.367222113,NA,NA,NA,NA,NA,0.001306049,NA,NA,NA,NA,no_conflict,ECSTPA
,Benzalkonium,Diclofenac,EC,other membrane_human drug,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.165509167,0.415861046,NA,NA,NA,NA,NA,0.020992884,NA,NA,NA,NA,no_conflict,ECSTPA
,Spiramycin,Clarithromycin,EC,macrolide_macrolide,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.101089146,0.111245915,NA,NA,NA,NA,NA,0.028969066,NA,NA,NA,NA,no_conflict,ECSTPA
,Vanillin,Puromycin,EC,other protein synthesis inhibitor_food additive,not_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.058007155,0.609767689,NA,NA,NA,NA,NA,0.006696861,NA,NA,NA,NA,no_conflict,ECSTPA
,Mecillinam,Gentamicin,EC,beta-lactam_aminoglycoside,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.072181822,0.284383591,NA,NA,NA,NA,NA,0.049724194,NA,NA,NA,NA,no_conflict,ECSTPA
,Tigecycline,CHIR-90,EC,LPS_tetracycline,not_comparable,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.049699743,0.532620856,NA,NA,NA,NA,NA,0.007351044,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,A22,ECPA,beta-lactam_other cell wall,weak_conserved,NA,not_comparable,Synergy,NA,NA,NA,NA,Synergy,-0.144406458,-0.107771087,NA,NA,0.047542801,-0.13341336,0.028629671,NA,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,Doxycycline,Loperamide,ECPA,tetracycline_human drug,conserved,NA,not_comparable,Synergy,Synergy,NA,NA,NA,Synergy,-0.148761174,-0.187125153,NA,NA,0.066623852,-0.196567868,0.002956627,0.001463305,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,Fosfomycin,Reserpine,ECPA,other cell wall_human drug,conserved,NA,conserved,Synergy,Synergy,NA,NA,Synergy,Synergy,-0.228893721,-0.334767928,NA,NA,-0.103237854,-0.105204515,0.001666307,0.001463305,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Fosfomycin,Acetylsalisylic acid,ECPA,other cell wall_human drug,conserved,NA,weak_conserved,Synergy,Synergy,NA,NA,Synergy,NA,-0.515955045,-0.372691014,NA,NA,-0.190175392,-0.124842139,0.001666307,0.001463305,NA,NA,0.023790803,NA,no_conflict,ECSTPA
,Oxacillin,Penicillin G,ECPA,beta-lactam_beta-lactam,conserved,NA,not_conserved,Synergy,Synergy,NA,NA,Synergy,NA,-0.235831388,-0.709464143,NA,NA,-0.104322745,-0.036614803,0.001666307,0.001463305,NA,NA,0.031378853,NA,no_conflict,ECSTPA
,Benzalkonium,Procaine,ECPA,other membrane_human drug,conserved,NA,not_conserved,Synergy,Synergy,NA,NA,NA,Synergy,-0.283986658,-0.414691134,NA,NA,-0.046901762,-0.24070123,0.001666307,0.001463305,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,Cefsulodin,Aztreonam,ECPA,beta-lactam_beta-lactam,conserved,NA,weak_conserved,Synergy,Synergy,NA,NA,NA,Synergy,-0.563930947,-0.414565098,NA,NA,-0.086725558,-0.551993127,0.001666307,0.001463305,NA,NA,NA,0.007402038,no_conflict,ECSTPA
,Cefsulodin,Clarithromycin,ECPA,beta-lactam_macrolide,weak_conserved,NA,not_conserved,Synergy,NA,NA,NA,NA,Synergy,-0.235793471,-0.069460987,NA,NA,0.042515163,-0.137121855,0.001666307,NA,NA,NA,NA,0.00546282,no_conflict,ECSTPA
,Procaine,Metformin,ECPA,human drug_human drug,conserved,NA,conserved,Synergy,Synergy,NA,NA,Synergy,Synergy,-0.133663389,-0.223769844,NA,NA,-0.314026126,-0.227652351,0.017082736,0.002551072,NA,NA,0.002089943,0.041701644,no_conflict,ECSTPA
,CCCP,Loperamide,ECPA,PMF_human drug,conserved,NA,conserved,Synergy,Synergy,NA,NA,Synergy,Synergy,-0.180968253,-0.14417045,NA,NA,-0.148902209,-0.116942336,0.001666307,0.001463305,NA,NA,0.002089943,0.034899522,no_conflict,ECSTPA
,Minocycline,Rifampicin,ECPA,RNA polymerase_tetracycline,conserved,NA,not_conserved,Synergy,Synergy,NA,NA,Synergy,NA,-0.262285774,-0.307193206,NA,NA,-0.261949277,0.031728428,0.001666307,0.001463305,NA,NA,0.001981816,NA,no_conflict,ECSTPA
,Ciprofloxacin,Moxifloxacin,ECPA,quinolones_quinolones,weak_conserved,NA,not_conserved,Synergy,NA,NA,NA,NA,Synergy,-0.370513292,-0.194320072,NA,NA,0.047420502,-0.236371412,0.034974076,NA,NA,NA,NA,0.024232036,no_conflict,ECSTPA
,Doxycycline,A22,ECPA,other cell wall_tetracycline,not_conserved,NA,not_comparable,Antagonism,NA,NA,NA,NA,Antagonism,0.145314474,-0.046015076,NA,NA,-0.031449653,0.136296957,0.025110729,NA,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,Fosfomycin,Fusidic acid,ECPA,other cell wall_other protein synthesis inhibitor,conserved,NA,weak_conserved,Antagonism,Antagonism,NA,NA,Antagonism,NA,0.177261179,0.290445518,NA,NA,0.146610794,0.080456269,0.049613436,0.036453455,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Fosfomycin,Minocycline,ECPA,other cell wall_tetracycline,weak_conserved,NA,weak_conserved,Antagonism,NA,NA,NA,NA,Antagonism,0.178120404,0.0799086,NA,NA,0.182555543,0.22371447,0.006321736,NA,NA,NA,NA,0.022989368,no_conflict,ECSTPA
,Polymyxin B,Amikacin,ECPA,LPS_aminoglycoside,not_comparable,NA,weak_conserved,Antagonism,NA,NA,NA,Antagonism,NA,0.133314283,0.035946328,NA,NA,0.207617676,0.182367417,0.045841287,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Amikacin,Rifampicin,ECPA,RNA polymerase_aminoglycoside,not_conserved,NA,conserved,Antagonism,NA,NA,NA,Antagonism,Antagonism,0.257778742,-0.069498293,NA,NA,0.152553905,0.177575006,0.001666307,NA,NA,NA,0.002089943,0.00863359,no_conflict,ECSTPA
,Benzalkonium,Clarithromycin,ECPA,other membrane_macrolide,conserved,NA,conserved,Antagonism,Antagonism,NA,NA,Antagonism,Antagonism,0.112538552,0.171535451,NA,NA,0.333015011,0.159485238,0.023345905,0.001463305,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Erythromycin,Berberine,ECPA,macrolide_food additive,weak_conserved,NA,conserved,Antagonism,NA,NA,NA,Antagonism,Antagonism,0.111772853,0.095546744,NA,NA,0.144947686,0.12925687,0.045236399,NA,NA,NA,0.009567829,0.009195747,no_conflict,ECSTPA
,Rifampicin,Phleomycin,ECPA,RNA polymerase_multiple,weak_conserved,NA,not_comparable,Antagonism,NA,NA,NA,Antagonism,NA,0.378307139,0.172946553,NA,NA,0.146173837,0.028513862,0.001666307,NA,NA,NA,0.024461593,NA,no_conflict,ECSTPA
,Ciprofloxacin,Rifampicin,ECPA,RNA polymerase_quinolones,conserved,specific,conserved,Antagonism,Antagonism,Antagonism,Synergy,Antagonism,Antagonism,0.220284691,0.224904361,0.226580121,-0.258704949,0.171186491,0.125793284,0.014367611,0.001463305,0.003107603,0.001836122,0.002089943,0.037789325,no_conflict,ECSTPA
,Amikacin,Vanillin,ECPA,aminoglycoside_food additive,not_comparable,NA,not_conserved,Antagonism,NA,NA,NA,Antagonism,NA,0.208150228,-0.045300939,NA,NA,0.147728928,0.057646012,0.007858749,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Amikacin,Azithromycin,ECPA,aminoglycoside_macrolide,not_comparable,NA,conserved,Antagonism,NA,NA,NA,Antagonism,Antagonism,0.202444166,0.039346419,NA,NA,0.688772206,0.405026872,0.047400094,NA,NA,NA,0.002089943,0.041701644,no_conflict,ECSTPA
,Spiramycin,Tobramycin,ECPA,aminoglycoside_macrolide,not_comparable,NA,not_comparable,Antagonism,NA,NA,NA,NA,Antagonism,0.683018203,0.042195431,NA,NA,-0.038679584,0.273421763,0.009698137,NA,NA,NA,NA,0.039694894,no_conflict,ECSTPA
,Erythromycin,Tobramycin,ECPA,aminoglycoside_macrolide,not_comparable,NA,conserved,Antagonism,NA,NA,NA,Antagonism,Antagonism,0.374802401,-0.042012701,NA,NA,0.458285148,0.38047188,0.00387234,NA,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,A22,Berberine,ECPA,other cell wall_food additive,weak_conserved,NA,not_conserved,Antagonism,NA,NA,NA,NA,Antagonism,0.259010734,0.09291829,NA,NA,-0.050762322,0.236242186,0.036595695,NA,NA,NA,NA,0.032759849,no_conflict,ECSTPA
,Spectinomycin,Loperamide,ECPA,aminoglycoside_human drug,weak_conserved,NA,weak_conserved,NA,Synergy,NA,NA,NA,Synergy,-0.0754717,-0.14242835,NA,NA,-0.078670981,-0.259938779,NA,0.001463305,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,Fosfomycin,Cefotaxime,ECPA,beta-lactam_other cell wall,weak_conserved,NA,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,-0.086770752,-0.156152589,NA,NA,-0.185564108,-0.098164736,NA,0.001463305,NA,NA,0.0063327,NA,no_conflict,ECSTPA
,Fosfomycin,Nitrofurantoin,ECPA,other cell wall_multiple,weak_conserved,NA,weak_conserved,NA,Synergy,NA,NA,NA,Synergy,-0.080736392,-0.184263677,NA,NA,-0.090965099,-0.21500062,NA,0.002551072,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,Polymyxin B,Erythromycin,ECPA,LPS_macrolide,weak_conserved,NA,not_conserved,NA,Synergy,NA,NA,NA,Synergy,-0.138846284,-0.3310996,NA,NA,0.072136322,-0.103429712,NA,0.001463305,NA,NA,NA,0.024543598,no_conflict,ECSTPA
,Amikacin,Cefotaxime,ECPA,beta-lactam_aminoglycoside,weak_conserved,NA,conserved,NA,Synergy,NA,NA,Synergy,Synergy,-0.078643842,-0.109242416,NA,NA,-0.386561143,-0.3337696,NA,0.002551072,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Cefotaxime,Piperacillin,ECPA,beta-lactam_beta-lactam,weak_conserved,NA,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,-0.090653088,-0.267073127,NA,NA,-0.257761237,-0.085564501,NA,0.001463305,NA,NA,0.001981816,NA,no_conflict,ECSTPA
,Sulfamonomethoxine,Mitomycin C,ECPA,other DNA_folic acid biosynthesis,weak_conserved,NA,weak_conserved,NA,Synergy,NA,NA,NA,Synergy,-0.109146591,-0.107159676,NA,NA,-0.075287602,-0.138980801,NA,0.038933176,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,A22,Aztreonam,ECPA,beta-lactam_other cell wall,weak_conserved,NA,not_conserved,NA,Synergy,NA,NA,NA,Synergy,-0.116819962,-0.239493987,NA,NA,0.040283817,-0.117445738,NA,0.004486711,NA,NA,NA,0.007402038,no_conflict,ECSTPA
,Clofazimine,Mitomycin C,ECPA,other DNA_other DNA,not_comparable,NA,weak_conserved,NA,Synergy,NA,NA,NA,Synergy,0.04948359,-0.125182812,NA,NA,-0.068156535,-0.207089099,NA,0.011726285,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,Benzalkonium,Loperamide,ECPA,other membrane_human drug,weak_conserved,NA,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,-0.073649734,-0.138912546,NA,NA,-0.152950287,-0.062065388,NA,0.006963072,NA,NA,0.001981816,NA,no_conflict,ECSTPA
,Ciprofloxacin,Acetylsalisylic acid,ECPA,quinolones_human drug,weak_conserved,NA,weak_conserved,NA,Antagonism,NA,NA,Antagonism,NA,0.127337577,0.129533706,NA,NA,0.241983413,0.204974802,NA,0.003544318,NA,NA,0.005238084,NA,no_conflict,ECSTPA
,Fosfomycin,Puromycin,ECPA,other cell wall_other protein synthesis inhibitor,weak_conserved,NA,weak_conserved,NA,Antagonism,NA,NA,Antagonism,NA,0.189314288,0.224364866,NA,NA,0.243270538,0.086494045,NA,0.001463305,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Cefotaxime,Acetylsalisylic acid,ECPA,beta-lactam_human drug,weak_conserved,NA,not_comparable,NA,Antagonism,NA,NA,Antagonism,NA,0.072120181,0.115708803,NA,NA,0.222668838,0.039713276,NA,0.015073003,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Procaine,A22,ECPA,other cell wall_human drug,weak_conserved,NA,not_comparable,NA,Antagonism,NA,NA,NA,Antagonism,0.079665591,0.103720706,NA,NA,0.042237226,0.206959257,NA,0.01331946,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,Procaine,Meropenem,ECPA,beta-lactam_human drug,weak_conserved,NA,weak_conserved,NA,Antagonism,NA,NA,Antagonism,NA,0.197816666,0.138011177,NA,NA,0.100119943,0.079522247,NA,0.01331946,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Nitrofurantoin,CHIR-90,ECPA,multiple_LPS,weak_conserved,NA,weak_conserved,NA,Antagonism,NA,NA,NA,Antagonism,0.158845264,0.319041269,NA,NA,0.072895466,0.442408834,NA,0.001463305,NA,NA,NA,0.042321336,no_conflict,ECSTPA
,Rifampicin,Puromycin,ECPA,RNA polymerase_other protein synthesis inhibitor,weak_conserved,NA,not_comparable,NA,Antagonism,NA,NA,Antagonism,NA,0.088227253,0.201042256,NA,NA,0.242010533,0.05055773,NA,0.001463305,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Aztreonam,Puromycin,ECPA,beta-lactam_other protein synthesis inhibitor,weak_conserved,NA,weak_conserved,NA,Antagonism,NA,NA,NA,Antagonism,0.172173001,0.20333877,NA,NA,0.077347935,0.142912825,NA,0.001463305,NA,NA,NA,0.039954338,no_conflict,ECSTPA
,Aztreonam,Colistin,ECPA,beta-lactam_LPS,weak_conserved,NA,weak_conserved,NA,Antagonism,NA,NA,Antagonism,NA,0.194872926,0.485510185,NA,NA,0.166329729,0.133118487,NA,0.003544318,NA,NA,0.040302733,NA,no_conflict,ECSTPA
,Clarithromycin,Acetylsalisylic acid,ECPA,macrolide_human drug,weak_conserved,NA,not_conserved,NA,Antagonism,NA,NA,Antagonism,NA,0.123899927,0.108534997,NA,NA,0.10709082,0.054865227,NA,0.007206779,NA,NA,0.031378853,NA,no_conflict,ECSTPA
,Benzalkonium,Curcumin,ECPA,other membrane_food additive,weak_conserved,NA,conserved,NA,Antagonism,NA,NA,Antagonism,Antagonism,0.161408303,0.931475444,NA,NA,0.539322449,0.684509557,NA,0.001306049,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Tobramycin,Rifampicin,ECPA,RNA polymerase_aminoglycoside,weak_conserved,NA,weak_conserved,NA,Antagonism,NA,NA,NA,Antagonism,0.227502711,0.239259225,NA,NA,0.140264925,0.154159722,NA,0.013625011,NA,NA,NA,0.002389296,no_conflict,ECSTPA
,Amoxicillin,Cycloserine D,ECST,beta-lactam_other cell wall,weak_conserved,conserved,NA,Synergy,NA,Synergy,Synergy,NA,NA,-0.255258347,-0.129666155,-0.343596764,-0.520988071,NA,NA,0.001666307,NA,0.01390782,0.001836122,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Fosfomycin,ECST,beta-lactam_other cell wall,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.235424396,-0.197434681,-0.21533938,-0.233475371,NA,NA,0.001666307,0.043919431,0.001768535,0.002167452,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Cefaclor,ECST,beta-lactam_beta-lactam,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.472272507,-0.248875028,-0.281048583,-0.513641019,NA,NA,0.001666307,0.001463305,0.003167815,0.013345888,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Mecillinam,ECST,beta-lactam_beta-lactam,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.191183394,-0.385458197,-0.623811224,-0.469801302,NA,NA,0.001666307,0.006963072,0.003273536,0.003743781,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Aztreonam,ECST,beta-lactam_beta-lactam,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.524618664,-0.290350251,-0.540616504,-0.472447994,NA,NA,0.001666307,0.001463305,0.021441657,0.048381176,NA,NA,no_conflict,ECSTPA
,Cycloserine D,Acetylsalisylic acid,ECST,other cell wall_human drug,weak_conserved,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,NA,-0.118066532,-0.07164821,-0.132165881,-0.228359445,NA,NA,0.005217578,NA,NA,0.005087138,NA,NA,no_conflict,ECSTPA
,Doxycycline,Verapamil,ECST,tetracycline_human drug,weak_conserved,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,NA,-0.244319764,-0.100446159,-0.088662139,-0.123155144,NA,NA,0.002956627,NA,NA,0.007468165,NA,NA,no_conflict,ECSTPA
,Spectinomycin,Vanillin,ECST,aminoglycoside_food additive,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.891528603,-0.540546432,-0.562770201,-0.405176659,NA,NA,0.001666307,0.001463305,0.001768535,0.002167452,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Cefsulodin,ECST,beta-lactam_other cell wall,conserved,weak_conserved,NA,Synergy,Synergy,Synergy,NA,NA,NA,-0.354431465,-0.2116671,-0.220857547,-0.104753755,NA,NA,0.001666307,0.001463305,0.001768535,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Vanillin,ECST,other cell wall_food additive,conserved,weak_conserved,NA,Synergy,Synergy,Synergy,NA,NA,NA,-0.413750628,-0.326711017,-0.128245601,-0.10293016,NA,NA,0.001666307,0.001463305,0.011530847,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Penicillin G,ECST,beta-lactam_other cell wall,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.133764513,-0.181619379,-0.349446487,-0.260293115,NA,NA,0.023345905,0.021287717,0.001768535,0.002167452,NA,NA,no_conflict,ECSTPA
,Novobiocin,Bacitracin,ECST,other cell wall_other DNA,conserved,not_comparable,NA,Synergy,Synergy,NA,Synergy,NA,NA,-0.381221773,-0.277852427,-0.057767787,-0.23004309,NA,NA,0.001666307,0.010009416,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Novobiocin,Polymyxin B,ECST,other DNA_LPS,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.294057329,-0.364163206,-0.178149352,-0.277161709,NA,NA,0.001666307,0.001463305,0.001768535,0.002167452,NA,NA,no_conflict,ECSTPA
,Bacitracin,Trimethoprim,ECST,other cell wall_folic acid biosynthesis,weak_conserved,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,NA,-0.214243065,-0.133746191,-0.094836749,-0.181776841,NA,NA,0.002956627,NA,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Bacitracin,Mecillinam,ECST,beta-lactam_other cell wall,weak_conserved,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,NA,-0.142736191,-0.101715387,-0.089200584,-0.16618308,NA,NA,0.024275467,NA,NA,0.007468165,NA,NA,no_conflict,ECSTPA
,Bacitracin,Imipenem,ECST,beta-lactam_other cell wall,weak_conserved,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,NA,-0.184062819,-0.091985103,-0.076163433,-0.216340862,NA,NA,0.027025422,NA,NA,0.027674033,NA,NA,no_conflict,ECSTPA
,Polymyxin B,Fusidic acid,ECST,LPS_other protein synthesis inhibitor,conserved,weak_conserved,NA,Synergy,Synergy,Synergy,NA,NA,NA,-0.84618816,-0.419834209,-0.323699977,-0.345909299,NA,NA,0.001666307,0.001463305,0.01832232,NA,NA,NA,no_conflict,ECSTPA
,Amikacin,Puromycin,ECST,other protein synthesis inhibitor_aminoglycoside,conserved,weak_conserved,NA,Synergy,Synergy,Synergy,NA,NA,NA,-0.421167552,-0.26455189,-0.288674614,-0.099679067,NA,NA,0.001666307,0.001463305,0.010482588,NA,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Mecillinam,ECST,beta-lactam_beta-lactam,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.15648401,-0.247296866,-0.575637347,-0.221040643,NA,NA,0.002956627,0.024022598,0.017308999,0.002167452,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Meropenem,ECST,beta-lactam_beta-lactam,weak_conserved,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,NA,-0.192565341,-0.199999654,-0.14933459,-0.409722858,NA,NA,0.016255893,NA,NA,0.009748301,NA,NA,no_conflict,ECSTPA
,Cefaclor,Mecillinam,ECST,beta-lactam_beta-lactam,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.20308159,-0.367267953,-0.614446299,-0.510073655,NA,NA,0.001666307,0.001813026,0.022355724,0.002167452,NA,NA,no_conflict,ECSTPA
,Cefaclor,A22,ECST,beta-lactam_other cell wall,weak_conserved,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,NA,-0.160561269,-0.110830537,-0.25570745,-0.260404099,NA,NA,0.004098642,NA,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Cefaclor,Aztreonam,ECST,beta-lactam_beta-lactam,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.601241705,-0.540875146,-0.581642781,-0.457219817,NA,NA,0.001666307,0.001463305,0.001858524,0.013345888,NA,NA,no_conflict,ECSTPA
,Cefsulodin,Trimethoprim,ECST,beta-lactam_folic acid biosynthesis,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.240227564,-0.156692048,-0.169141111,-0.101388817,NA,NA,0.001666307,0.001463305,0.001768535,0.011087353,NA,NA,no_conflict,ECSTPA
,Cefsulodin,Meropenem,ECST,beta-lactam_beta-lactam,weak_conserved,weak_conserved,NA,Synergy,NA,NA,Synergy,NA,NA,-0.264604335,-0.117154181,-0.304216315,-0.41868469,NA,NA,0.01041944,NA,NA,0.026520948,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Sulfamonomethoxine,ECST,folic acid biosynthesis_folic acid biosynthesis,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.50044048,-0.341886375,-0.182298983,-0.117187188,NA,NA,0.001666307,0.001463305,0.001768535,0.040586916,NA,NA,no_conflict,ECSTPA
,Procaine,Rifampicin,ECST,RNA polymerase_human drug,conserved,weak_conserved,NA,Synergy,Synergy,Synergy,NA,NA,NA,-0.438705375,-0.416475251,-0.123317664,-0.074131667,NA,NA,0.001666307,0.001463305,0.007031004,NA,NA,NA,no_conflict,ECSTPA
,Procaine,Azithromycin,ECST,macrolide_human drug,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.338826742,-0.432040162,-0.314389757,-0.268054686,NA,NA,0.001666307,0.001463305,0.003167815,0.007468165,NA,NA,no_conflict,ECSTPA
,Procaine,Phleomycin,ECST,multiple_human drug,conserved,weak_conserved,NA,Synergy,Synergy,NA,Synergy,NA,NA,-0.345692278,-0.397429515,-0.149339735,-0.252930113,NA,NA,0.001666307,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Vanillin,EGCG,ECST,fatty acid biosynthesis_food additive,weak_conserved,weak_conserved,NA,Synergy,NA,Synergy,NA,NA,NA,-0.119164818,-0.079708603,-0.104883439,-0.099848482,NA,NA,0.033631637,NA,0.011530847,NA,NA,NA,no_conflict,ECSTPA
,Verapamil,CCCP,ECST,PMF_human drug,conserved,weak_conserved,NA,Synergy,Synergy,NA,Synergy,NA,NA,-0.222312053,-0.138037392,-0.090954788,-0.196909399,NA,NA,0.001666307,0.001463305,NA,0.002167452,NA,NA,no_conflict,ECSTPA
,Nitrofurantoin,Phleomycin,ECST,multiple_multiple,conserved,conserved,NA,Synergy,Synergy,Synergy,Synergy,NA,NA,-0.368598903,-0.265530031,-0.333716166,-0.462208597,NA,NA,0.001666307,0.001463305,0.019204746,0.002167452,NA,NA,no_conflict,ECSTPA
